id_paper,id_publisher
"KUNG FW, 2016, ASIA-PAC EDUC RES, V25, P337, DOI 10.1007/S40299-015-0268-8",SPRINGER HEIDELBERG
"BARUT E, 2016, CUKUROVA UNIV FAC ED, V45, P49",CUKUROVA UNIV
"AMES MG, 2016, INFORM SOC, V32, P85, DOI 10.1080/01972243.2016.1130497",TAYLOR & FRANCIS INC
"STORKSDIECK M, 2016, CULT STUD SCI EDUCAT, V11, P167, DOI 10.1007/S11422-015-9714-4",SPRINGER
"LEN-RIOS ME, 2016, PUBLIC RELAT REV, V42, P101, DOI 10.1016/J.PUBREV.2015.10.003",ELSEVIER SCIENCE INC
"NEAG A, 2016, CENT EUR J COMMUN, V9, P104, DOI 10.19195/1899-5101.9.1(16).7",WYDAWNICTWO UNIWERSYTETU WROCLAWSKIEGO
"PEEK HS, 2016, ACAD PSYCHIATR, V40, P177, DOI 10.1007/S40596-015-0382-1",SPRINGER
"SHENSA A, 2016, HEALTH EDUC RES, V31, P48, DOI 10.1093/HER/CYV062",OXFORD UNIV PRESS
"KESLER T, 2016, READ WRIT Q, V32, P1, DOI 10.1080/10573569.2013.857976",ROUTLEDGE JOURNALS
"KESLER T, 2016, READ WRIT Q, V32, P1, DOI 10.1080/10573569.2013.857976", TAYLOR & FRANCIS LTD
"KIURU KV, 2016, ART-SANAT, P460",ISTANBUL UNIV
"KIURU KV, 2016, ART-SANAT, P460", RESEARCH INST TURKOLOGY
"KIURU KV, 2016, ART-SANAT, P460", DEPT ART HISTORY
"RUZIC N, 2016, NOVA PRISUT, V14, P69",KRSCANSKI AKAD KRUG
"PERAN S, 2016, NOVA PRISUT, V14, P379",KRSCANSKI AKAD KRUG
"CHEUNG CK, 2016, INT J ADOLESC YOUTH, V21, P215, DOI 10.1080/02673843.2013.821078",ROUTLEDGE JOURNALS
"CHEUNG CK, 2016, INT J ADOLESC YOUTH, V21, P215, DOI 10.1080/02673843.2013.821078", TAYLOR & FRANCIS LTD
"CHUEN EM, 2016, J KOMUN, V32, P691",NATL UNIV MALAYSIA
"CHUEN EM, 2016, J KOMUN, V32, P691", FAC SOCIAL SCIENCES & HUMANITIES
"PAGAN FJB, 2016, PROFESORADO, V20, P199",UNIV GRANADA
"PAGAN FJB, 2016, PROFESORADO, V20, P199", GRUPO INVESTIGACION FORCE
"AREVALO-MARTINEZ RI, 2016, REV LAT COMUN SOC, V71, P800, DOI 10.4185/RLCS-2016-1121",LABORATORIO TECNOLOGIAS INFORMACION & NUEVOS ANALISIS COMUNICACION;   SOCIAL
"FEDOROV A, 2016, EUR J CONTEMP EDUC, V16, P205, DOI 10.13187/EJCED.2016.16.205",ACAD PUBLISHER HOUSE RESEARCHER
"FEDOROV A, 2016, EUR J CONTEMP EDUC-a, V17, P324, DOI 10.13187/EJCED.2016.17.324",ACAD PUBLISHER HOUSE RESEARCHER
"SEKARASIH L, 2016, J CHILD MEDIA, V10, P369, DOI 10.1080/17482798.2016.1157503",ROUTLEDGE JOURNALS
"SEKARASIH L, 2016, J CHILD MEDIA, V10, P369, DOI 10.1080/17482798.2016.1157503", TAYLOR & FRANCIS LTD
"FLORES-KOULISH SA, 2016, J RES CHILD EDUC, V30, P349, DOI 10.1080/02568543.2016.1178673",ROUTLEDGE JOURNALS
"FLORES-KOULISH SA, 2016, J RES CHILD EDUC, V30, P349, DOI 10.1080/02568543.2016.1178673", TAYLOR & FRANCIS LTD
"VOCKIC-AVDAGIC J, 2016, MEDIJSKE STUD, V7, P156",SVEUCILISTE & ZAGREBU
"VOCKIC-AVDAGIC J, 2016, MEDIJSKE STUD, V7, P156", FAK POLITICKIH ZNANOSTI
"MACKNIGHT C, 2016, INT J ASIA PAC STUD, V12, P53, DOI 10.21315/IJAPS2016.12.S1.4",PENERBIT UNIV SAINS MALAYSIA
"KAVANAUGH JR, 2016, REF SERV REV, V44, P132, DOI 10.1108/RSR-02-2016-0019",EMERALD GROUP PUBLISHING LTD
"DRUICK Z, 2016, INT J COMMUN-US, V10, P1125",USC ANNENBERG PRESS
"AYBEK B, 2016, EURASIAN J EDUC RES, P261, DOI 10.14689/EJER.2016.63.15",ANI YAYINCILIK
"ABRAMS LR, 2016, PUBLIC HEALTH GENOM, V19, P282, DOI 10.1159/000447944",KARGER
"MINASSIAN L, 2016, REV ANTHROPOL CONNAI, V10, P373, DOI 10.3917/RAC.032.0373",SOC ANTHROPOLOGIE CONNAISSANCES
"EL-GUEBALY L, 2016, CAN J STUDY ADULT ED, V28, P65",UNIV CALGARY PRESS
"GOESSLING KP, 2016, MIND CULT ACT, V23, P179, DOI 10.1080/10749039.2016.1155624",ROUTLEDGE JOURNALS
