author_full_name,country,university
"VANDERMEERSCHE, GEERT","UNIV GHENT, TEACHER EDUC PROGRAM, B-9000 GHENT, BELGIUM","UNIV GHENT, TEACHER EDUC PROGRAM, B-9000 GHENT, BELGIUM"
"NELSON, KIMBERLY M.","BROWN UNIV, DEPT PSYCHIAT & HUMAN BEHAV, PROVIDENCE, RI 02912 USA","RHODE ISL HOSP, DEPT PSYCHIAT, PROVIDENCE, RI USA"
"CAREY, MICHAEL P.",MIRIAM HOSP,"BROWN UNIV, DEPT BEHAV & SOCIAL SCI, PROVIDENCE, RI 02912 USA"
"RIVERA, REYNALDO",ITALY,INTERMEDIA SOCIAL INNOVAT
"SANTOS, DAVID",SPAIN,UNIV AUTONOMA MADRID
"BRANDLE, GASPAR",SPAIN,UNIV MURCIA
"CARDABA, MIGUEL ANGEL M.",SPAIN,CTR UNIV VILLANUEVA
"AYHAN, CISE",AUSTRIA,UNIV VIENNA
"DOMITRAN, ZRINKA",AUSTRIA,UNIV VIENNA
"RADUNOVIC, NIKOLA",AUSTRIA,UNIV VIENNA
"TAVAKOLI, SEPEHR DADJOI",AUSTRIA,UNIV VIENNA
"SUPSAKOVA, BOZENA",SLOVAKIA,COMENIUS UNIV
"CHANG, FONG-CHING",TAIWAN,NATL TAIWAN NORMAL UNIV
"LEE, CHING-MEI",TAIWAN,NATL TAIWAN NORMAL UNIV
"CHEN, PING-HUNG",TAIWAN,NATL TAIWAN NORMAL UNIV
"CHIU, CHIUNG-HUI",TAIWAN,NATL TAIWAN NORMAL UNIV
"MIAO, NAE-FANG",TAIWAN,TAIPEI MED UNIV
"LEE, SHU-CHING",TAIWAN,CHUNG HO HIGH SCH
"KUNG, FAN-WEI",IRELAND,QUEENS UNIV BELFAST
"DEMIRER, VEYSEL",TURKEY,SULEYMAN DEMIREL UNIV
"ERBAS, CAGDAS",TURKEY,SULEYMAN DEMIREL UNIV
"DIKMEN, CEMAL HAKAN",TURKEY,AFYON KOCATEPE UNIV
"SAK, NURCAN",TURKEY,MEB
"AMES, MORGAN G.",USA,UNIV CALIF BERKELEY
"STORKSDIECK, MARTIN",USA,OREGON STATE UNIV
"LEN-RIOS, MARIA E.",USA,UNIV GEORGIA
"HUGHES, HILARY E.",USA,UNIV GEORGIA
"MCKEE, LAURA G.",USA,UNIV GEORGIA
"YOUNG, HENRY N.",USA,UNIV GEORGIA
"NEAG, ANAMARIA",HUNGARY,HUNGARIAN ACAD SCI
"PEEK, HOLLY S.",USA,TULANE UNIV
"BERESIN, EUGENE",USA,MASSACHUSETTS GEN HOSP
"SHENSA, ARIEL",USA,UNIV PITTSBURGH
"PRIMACK, BRIAN A.","UNIV PITTSBURGH, SCH MED, DEPT MED, DIV GEN INTERNAL MED, PITTSBURGH, PA 15213 USA","UNIV PITTSBURGH, SCH MED, DEPT MED, DIV GEN INTERNAL MED, PITTSBURGH, PA 15213 USA"
"PHELPS-TSCHANG, JANE",USA,UNIV PITTSBURGH
"MILLER, ELIZABETH","UNIV PITTSBURGH, SCH MED, DEPT PEDIAT, DIV ADOLESCENT MED, PITTSBURGH, PA 15213 USA","UNIV PITTSBURGH, SCH MED, DEPT PEDIAT, DIV ADOLESCENT MED, PITTSBURGH, PA 15213 USA"
"KESLER, TED",USA,CUNY QUEENS COLL
"TINIO, PABLO P. L.",USA,CUNY QUEENS COLL
"NOLAN, BRIAN T.",USA,NEW YORK CITY DEPT EDUC
"KIURU, K., V",RUSSIA,CHELYABINSK STATE UNIV
"POPOVA, E. E.",RUSSIA,CHELYABINSK STATE UNIV
"RUZIC, NATASA",MONTENEGRO,UNIV MONTENEGRO
"PERAN, SUZANA",CROATIA,UNIV ZAGREB
"RAGUZ, ANDELKA",CROATIA,UNIV ZAGREB
"CHEUNG, C. K.",UNIV HONG KONG,"UNIV HONG KONG, FAC EDUC, POKFULAM, HONG KONG, PEOPLES R CHINA"
"XU, WEN",CHINA,COMMUN UNIV CHINA
"CHUEN, ENG MAY",MALAYSIA,UNIV TUNKU ABDUL RAHMAN
"MICHAEL, EDWIN",MALAYSIA,UNIV TUNKU ABDUL RAHMAN
"TECK, TEH BOON",MALAYSIA,UNIV TUNKU ABDUL RAHMAN
"JAVIER BALLESTA PAGAN, F.",SPAIN,UNIV MURCIA
"MARTINEZ BUENDIA, JESUS",SPAIN,UNIV MURCIA
"AREVALO-MARTINEZ, REBECA-ILLIANA",MEXICO,UNIV ANAHUAC
"DEL PRADO-FLORES, ROGELIO",MEXICO,UNIV ANAHUAC
"RAMIREZ-BELTRAN, RAFAEL-TONATIUH",MEXICO,UNIV ANAHUAC
"LEVITSKAYA, ANASTASIA","INST MANAGEMENT & ECON, TAGANROG, RUSSIA","TAGANROG MANAGEMENT & ECON INST, TAGANROG, RUSSIA"
"CAMARERO, EMMA",SPAIN,LOYOLA ANDALUCIA UNIV
"SEKARASIH, LARAS",UNIV MASSACHUSETTS,"UNIV INDONESIA, FAC PSYCHOL, DEPOK, WEST JAVA, INDONESIA"
"MCDERMOTT, KIMBERLY WALSH",USA,UNIV CALIF SANTA BARBARA
"O'MALLEY, DONICA",USA,UNIV PITTSBURGH
"OLSON, CHRISTINE",USA,UNIV MASSACHUSETTS
"SCHARRER, ERICA",UNIV MASSACHUSETTS,"UNIV MASSACHUSETTS, DEPT COMMUN, AMHERST, MA 01003 USA"
"FLORES-KOULISH, STEPHANIE A.",USA,LOYOLA UNIV MARYLAND
"SMITH-D'AREZZO, WENDY MARIE",USA,LOYOLA UNIV MARYLAND
"MACKNIGHT, CAMPBELL",AUSTRALIA,AUSTRALIAN NATL UNIV
"KAVANAUGH, JILL R.",USA,BOSTON CHILDRENS HOSP
"LAVALLEE, KRISTELLE",USA,BOSTON CHILDRENS HOSP
"RUDD, RIMA",USA,HARVARD UNIV
"DRUICK, ZOE",CANADA,SIMON FRASER UNIV
"AYBEK, BIRSEL",TURKEY,CUKUROVA UNIV
